Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 1999;7253141
Ambos sexos;Total;02 Arag�n;1 de enero de 1999;1199699
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 1999;1072219
Ambos sexos;Total;04 Balears, Illes;1 de enero de 1999;804754
Ambos sexos;Total;05 Canarias;1 de enero de 1999;1640341
Ambos sexos;Total;06 Cantabria;1 de enero de 1999;532996
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 1999;2483618
Ambos sexos;Total;08 Castilla  La Mancha;1 de enero de 1999;1733813
Ambos sexos;Total;09 Catalu�a;1 de enero de 1999;6257793
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 1999;4076380
Ambos sexos;Total;11 Extremadura;1 de enero de 1999;1061607
Ambos sexos;Total;12 Galicia;1 de enero de 1999;2707901
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 1999;5284618
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 1999;1155675
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 1999;544948
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 1999;2086864
Ambos sexos;Total;17 Rioja, La;1 de enero de 1999;272665
Ambos sexos;Total;18 Ceuta;1 de enero de 1999;70547
Ambos sexos;Total;19 Melilla;1 de enero de 1999;63989
