Causa de muerte;Sexo;Edad;Comunidades y Ciudades Aut�nomas;Periodo;Total
001102  IXXIITodas las causas;Total;Todas las edades;01 Andaluc�a;1982;49422
001102  IXXIITodas las causas;Total;Todas las edades;02 Arag�n;1982;10009
001102  IXXIITodas las causas;Total;Todas las edades;03 Asturias, Principado de;1982;10073
001102  IXXIITodas las causas;Total;Todas las edades;04 Balears, Illes;1982;5707
001102  IXXIITodas las causas;Total;Todas las edades;05 Canarias;1982;8810
001102  IXXIITodas las causas;Total;Todas las edades;06 Cantabria;1982;4056
001102  IXXIITodas las causas;Total;Todas las edades;07 Castilla y Le�n;1982;20586
001102  IXXIITodas las causas;Total;Todas las edades;08 Castilla  La Mancha;1982;14398
001102  IXXIITodas las causas;Total;Todas las edades;09 Catalu�a;1982;40375
001102  IXXIITodas las causas;Total;Todas las edades;10 Comunitat Valenciana;1982;30289
001102  IXXIITodas las causas;Total;Todas las edades;11 Extremadura;1982;9605
001102  IXXIITodas las causas;Total;Todas las edades;12 Galicia;1982;25036
001102  IXXIITodas las causas;Total;Todas las edades;13 Madrid, Comunidad de;1982;28532
001102  IXXIITodas las causas;Total;Todas las edades;14 Murcia, Regi�n de;1982;7487
001102  IXXIITodas las causas;Total;Todas las edades;15 Navarra, Comunidad Foral de;1982;4111
001102  IXXIITodas las causas;Total;Todas las edades;16 Pa�s Vasco;1982;14157
001102  IXXIITodas las causas;Total;Todas las edades;17 Rioja, La;1982;2134
001102  IXXIITodas las causas;Total;Todas las edades;18 Ceuta;1982;499
001102  IXXIITodas las causas;Total;Todas las edades;19 Melilla;1982;388
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;01 Andaluc�a;1982;641
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;02 Arag�n;1982;105
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;03 Asturias, Principado de;1982;111
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;04 Balears, Illes;1982;57
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;05 Canarias;1982;105
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;06 Cantabria;1982;45
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;07 Castilla y Le�n;1982;249
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;08 Castilla  La Mancha;1982;147
