Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 1995;7115499
Ambos sexos;Total;02 Arag�n;1 de enero de 1995;1196261
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 1995;1086001
Ambos sexos;Total;04 Balears, Illes;1 de enero de 1995;756141
Ambos sexos;Total;05 Canarias;1 de enero de 1995;1568049
Ambos sexos;Total;06 Cantabria;1 de enero de 1995;531185
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 1995;2520690
Ambos sexos;Total;08 Castilla - La Mancha;1 de enero de 1995;1698263
Ambos sexos;Total;09 Catalu�a;1 de enero de 1995;6161209
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 1995;3969401
Ambos sexos;Total;11 Extremadura;1 de enero de 1995;1065076
Ambos sexos;Total;12 Galicia;1 de enero de 1995;2727113
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 1995;5116658
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 1995;1100679
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 1995;531732
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 1995;2097947
Ambos sexos;Total;17 Rioja, La;1 de enero de 1995;268055
Ambos sexos;Total;18 Ceuta;1 de enero de 1995;69318
Ambos sexos;Total;19 Melilla;1 de enero de 1995;60450
