Causa de muerte;Sexo;Edad;Comunidades y Ciudades Autónomas;Periodo;Total
001-102  I-XXII.Todas las causas;Total;Todas las edades;01 Andalucía;2000;60.366
001-102  I-XXII.Todas las causas;Total;Todas las edades;02 Aragón;2000;12.576
001-102  I-XXII.Todas las causas;Total;Todas las edades;03 Asturias, Principado de;2000;12.393
001-102  I-XXII.Todas las causas;Total;Todas las edades;04 Balears, Illes;2000;7.310
001-102  I-XXII.Todas las causas;Total;Todas las edades;05 Canarias;2000;12.030
001-102  I-XXII.Todas las causas;Total;Todas las edades;06 Cantabria;2000;5.335
001-102  I-XXII.Todas las causas;Total;Todas las edades;07 Castilla y León;2000;25.676
001-102  I-XXII.Todas las causas;Total;Todas las edades;08 Castilla - La Mancha;2000;16.752
001-102  I-XXII.Todas las causas;Total;Todas las edades;09 Cataluña;2000;55.928
001-102  I-XXII.Todas las causas;Total;Todas las edades;10 Comunitat Valenciana;2000;36.563
001-102  I-XXII.Todas las causas;Total;Todas las edades;11 Extremadura;2000;10.361
001-102  I-XXII.Todas las causas;Total;Todas las edades;12 Galicia;2000;28.858
001-102  I-XXII.Todas las causas;Total;Todas las edades;13 Madrid, Comunidad de;2000;37.838
001-102  I-XXII.Todas las causas;Total;Todas las edades;14 Murcia, Región de;2000;9.204
001-102  I-XXII.Todas las causas;Total;Todas las edades;15 Navarra, Comunidad Foral de;2000;4.935
001-102  I-XXII.Todas las causas;Total;Todas las edades;16 País Vasco;2000;18.243
001-102  I-XXII.Todas las causas;Total;Todas las edades;17 Rioja, La;2000;2.544
001-102  I-XXII.Todas las causas;Total;Todas las edades;18 Ceuta;2000;451
001-102  I-XXII.Todas las causas;Total;Todas las edades;19 Melilla;2000;425
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;01 Andalucía;2000;1.216
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;02 Aragón;2000;205
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;03 Asturias, Principado de;2000;196
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;04 Balears, Illes;2000;123
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;05 Canarias;2000;196
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;06 Cantabria;2000;97
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;07 Castilla y León;2000;432
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;08 Castilla - La Mancha;2000;234
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;09 Cataluña;2000;871
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;10 Comunitat Valenciana;2000;671
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;11 Extremadura;2000;172
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;12 Galicia;2000;428
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;13 Madrid, Comunidad de;2000;757
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;14 Murcia, Región de;2000;150
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;15 Navarra, Comunidad Foral de;2000;73
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;16 País Vasco;2000;353
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;17 Rioja, La;2000;32
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;18 Ceuta;2000;13
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;19 Melilla;2000;10
001  Enfermedades infecciosas intestinales;Total;Todas las edades;01 Andalucía;2000;57
001  Enfermedades infecciosas intestinales;Total;Todas las edades;02 Aragón;2000;22
001  Enfermedades infecciosas intestinales;Total;Todas las edades;03 Asturias, Principado de;2000;4
001  Enfermedades infecciosas intestinales;Total;Todas las edades;04 Balears, Illes;2000;4
001  Enfermedades infecciosas intestinales;Total;Todas las edades;05 Canarias;2000;6
001  Enfermedades infecciosas intestinales;Total;Todas las edades;06 Cantabria;2000;7
