Causa de muerte,CCAA,Año,TME
Todas las causas,Andalucía,2019,0.836615878389122
Todas las enfermedades infecciosas y parasitarias,Andalucía,2019,0.013408636870856078
Todos los tumores,Andalucía,2019,0.215392545557327
"Todas las enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Andalucía,2019,0.004129385514210545
"Todas las enfermedades endocrinas, nutricionales y metabólicas",Andalucía,2019,0.026912202144337687
Todos los trastornos mentales y del comportamiento,Andalucía,2019,0.030531347494436006
Todas las enfermedades del sistema nervioso y de los órganos de los sentidos,Andalucía,2019,0.04846094954033294
Todas las enfermedades del sistema circulatorio,Andalucía,2019,0.25171452561192037
Todas las enfermedades del sistema respiratorio,Andalucía,2019,0.0882478162907581
Todas las enfermedades del sistema digestivo,Andalucía,2019,0.04843721743967656
Todas las enfermedades de la piel y del tejido subcutáneo,Andalucía,2019,0.0033818243435344976
Todas las enfermedades del sistema osteomuscular y del tejido conjuntivo,Andalucía,2019,0.009682697067804035
Todas las enfermedades del sistema genitourinario,Andalucía,2019,0.028193735579782338
"Todos los fallecimientos a causa del embarazo, parto o puerperio",Andalucía,2019,2.373210065638244e-05
Todas las afecciones originadas en el periodo perinatal,Andalucía,2019,0.0016256488949621972
"Todas las malformaciones congénitas, deformidades y anomalías cromosómicas",Andalucía,2019,0.001874835951854213
"Todos los síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Andalucía,2019,0.03654743501082896
Todas las causas externas de mortalidad,Andalucía,2019,0.028051342975844044
Todas las causas,Aragón,2019,1.0313603203426358
Todas las enfermedades infecciosas y parasitarias,Aragón,2019,0.01605347928874
Todos los tumores,Aragón,2019,0.27237908019621593
"Todas las enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Aragón,2019,0.0029532343974568863
"Todas las enfermedades endocrinas, nutricionales y metabólicas",Aragón,2019,0.03543881276948264
Todos los trastornos mentales y del comportamiento,Aragón,2019,0.06375957340150509
Todas las enfermedades del sistema nervioso y de los órganos de los sentidos,Aragón,2019,0.06406246923714169
Todas las enfermedades del sistema circulatorio,Aragón,2019,0.3074392731711528
Todas las enfermedades del sistema respiratorio,Aragón,2019,0.10707367789753942
Todas las enfermedades del sistema digestivo,Aragón,2019,0.05770165668877302
Todas las enfermedades de la piel y del tejido subcutáneo,Aragón,2019,0.002801786479638585
Todas las enfermedades del sistema osteomuscular y del tejido conjuntivo,Aragón,2019,0.02195994808365377
Todas las enfermedades del sistema genitourinario,Aragón,2019,0.03763480757784801
"Todos los fallecimientos a causa del embarazo, parto o puerperio",Aragón,2019,0.0
Todas las afecciones originadas en el periodo perinatal,Aragón,2019,0.0006815156301823585
"Todas las malformaciones congénitas, deformidades y anomalías cromosómicas",Aragón,2019,0.0009844114658189623
"Todos los síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Aragón,2019,0.005452125041458868
Todas las causas externas de mortalidad,Aragón,2019,0.03498446901602773
Todas las causas,Asturias,2019,1.261292989175361
Todas las enfermedades infecciosas y parasitarias,Asturias,2019,0.0164350595037199
Todos los tumores,Asturias,2019,0.34895153124862427
"Todas las enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Asturias,2019,0.005087042227341874
"Todas las enfermedades endocrinas, nutricionales y metabólicas",Asturias,2019,0.03834847217534643
Todos los trastornos mentales y del comportamiento,Asturias,2019,0.08100136469690522
Todas las enfermedades del sistema nervioso y de los órganos de los sentidos,Asturias,2019,0.0619249563443732
Todas las enfermedades del sistema circulatorio,Asturias,2019,0.37057146071482727
Todas las enfermedades del sistema respiratorio,Asturias,2019,0.14145890501416056
Todas las enfermedades del sistema digestivo,Asturias,2019,0.06163147313894962
Todas las enfermedades de la piel y del tejido subcutáneo,Asturias,2019,0.004402248081353545
Todas las enfermedades del sistema osteomuscular y del tejido conjuntivo,Asturias,2019,0.018587269676826078
Todas las enfermedades del sistema genitourinario,Asturias,2019,0.04128330422958213
"Todos los fallecimientos a causa del embarazo, parto o puerperio",Asturias,2019,0.0
Todas las afecciones originadas en el periodo perinatal,Asturias,2019,0.0009782773514118988
"Todas las malformaciones congénitas, deformidades y anomalías cromosómicas",Asturias,2019,0.002347865643388557
"Todos los síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Asturias,2019,0.01751116459027299
Todas las causas externas de mortalidad,Asturias,2019,0.050772594538277545
Todas las causas,Baleares,2019,0.6728551951658784
Todas las enfermedades infecciosas y parasitarias,Baleares,2019,0.009678342394506068
Todos los tumores,Baleares,2019,0.19196781740755078
"Todas las enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Baleares,2019,0.003113901466058474
"Todas las enfermedades endocrinas, nutricionales y metabólicas",Baleares,2019,0.027940953695443603
Todos los trastornos mentales y del comportamiento,Baleares,2019,0.034589554122973855
Todas las enfermedades del sistema nervioso y de los órganos de los sentidos,Baleares,2019,0.04620356499638114
Todas las enfermedades del sistema circulatorio,Baleares,2019,0.18531921698002055
Todas las enfermedades del sistema respiratorio,Baleares,2019,0.06269882681658279
Todas las enfermedades del sistema digestivo,Baleares,2019,0.03349548063489926
Todas las enfermedades de la piel y del tejido subcutáneo,Baleares,2019,0.0026931039706451667
Todas las enfermedades del sistema osteomuscular y del tejido conjuntivo,Baleares,2019,0.007995152412852839
Todas las enfermedades del sistema genitourinario,Baleares,2019,0.02289138375048392
"Todos los fallecimientos a causa del embarazo, parto o puerperio",Baleares,2019,0.0
Todas las afecciones originadas en el periodo perinatal,Baleares,2019,0.0015990304825705677
"Todas las malformaciones congénitas, deformidades y anomalías cromosómicas",Baleares,2019,0.0017673494807358906
"Todos los síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Baleares,2019,0.009173385400010099
Todas las causas externas de mortalidad,Baleares,2019,0.03172813115416337
Todas las causas,Canarias,2019,0.7139423109600295
Todas las enfermedades infecciosas y parasitarias,Canarias,2019,0.011645289027464305
Todos los tumores,Canarias,2019,0.2034527149156215
"Todas las enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Canarias,2019,0.0026734321113634006
"Todas las enfermedades endocrinas, nutricionales y metabólicas",Canarias,2019,0.022112455429582026
Todos los trastornos mentales y del comportamiento,Canarias,2019,0.02886400432099129
Todas las enfermedades del sistema nervioso y de los órganos de los sentidos,Canarias,2019,0.034754617447724206
Todas las enfermedades del sistema circulatorio,Canarias,2019,0.19366523464351143
Todas las enfermedades del sistema respiratorio,Canarias,2019,0.10149979541447486
Todas las enfermedades del sistema digestivo,Canarias,2019,0.035388991169064674
Todas las enfermedades de la piel y del tejido subcutáneo,Canarias,2019,0.004984364953389391
Todas las enfermedades del sistema osteomuscular y del tejido conjuntivo,Canarias,2019,0.0055281138573955065
Todas las enfermedades del sistema genitourinario,Canarias,2019,0.021206207256238497
"Todos los fallecimientos a causa del embarazo, parto o puerperio",Canarias,2019,4.531240866717628e-05
Todas las afecciones originadas en el periodo perinatal,Canarias,2019,0.0014953094860168173
"Todas las malformaciones congénitas, deformidades y anomalías cromosómicas",Canarias,2019,0.0015859343033511697
"Todos los síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Canarias,2019,0.014409345956162056
Todas las causas externas de mortalidad,Canarias,2019,0.030631188259011163
Todas las causas,Cantabria,2019,1.0337991991623698
Todas las enfermedades infecciosas y parasitarias,Cantabria,2019,0.01255069707946998
Todos los tumores,Cantabria,2019,0.2910730158293518
"Todas las enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Cantabria,2019,0.003438547145060269
"Todas las enfermedades endocrinas, nutricionales y metabólicas",Cantabria,2019,0.030087287519277355
Todos los trastornos mentales y del comportamiento,Cantabria,2019,0.09335655498838631
Todas las enfermedades del sistema nervioso y de los órganos de los sentidos,Cantabria,2019,0.06344119482636196
